item_id,product_id,quantity,list_price,discount
1,10,1,1549.0,0.07
2,8,2,1799.99,0.1
3,7,1,3999.99,0.1
1,5,1,1320.99,0.05
2,6,2,469.99,0.1
1,3,1,999.99,0.1
2,6,1,469.99,0.07
1,11,1,1680.99,0.1
2,25,1,499.99,0.05
3,15,2,529.99,0.07
4,13,2,269.99,0.07
1,8,1,1799.99,0.1
1,22,2,269.99,0.07
2,17,1,429.0,0.05
3,21,1,269.99,0.1
4,2,1,749.99,0.2
5,10,2,1549.0,0.07
1,12,1,549.99,0.05
2,4,1,2899.99,0.2
3,11,1,1680.99,0.2
4,21,2,269.99,0.07
1,10,2,1549.0,0.2
2,19,1,449.0,0.1
3,8,2,1799.99,0.2
4,20,2,599.99,0.05
1,26,1,599.99,0.1
2,23,1,299.99,0.05
1,20,2,599.99,0.2
2,2,1,749.99,0.07
3,6,2,469.99,0.2
4,19,1,449.0,0.1
1,19,1,449.0,0.07
2,21,1,269.99,0.1
3,2,1,749.99,0.2
4,22,2,269.99,0.2
1,13,1,269.99,0.2
2,21,1,269.99,0.2
3,25,2,499.99,0.05
4,7,2,3999.99,0.07
5,23,2,299.99,0.2
1,12,2,549.99,0.05
2,11,2,1680.99,0.1
3,7,2,3999.99,0.2
4,16,2,599.99,0.2
5,24,2,549.99,0.1
1,12,2,549.99,0.2
1,15,1,529.99,0.05
2,22,1,269.99,0.07
1,17,1,429.0,0.07
2,3,1,999.99,0.05
3,18,1,449.0,0.2
4,15,2,529.99,0.1
5,9,2,2999.99,0.1
1,19,2,449.0,0.1
2,26,1,599.99,0.05
1,11,2,1680.99,0.2
2,3,1,999.99,0.05
3,9,1,2999.99,0.05
1,17,1,429.0,0.1
2,13,2,269.99,0.1
1,19,1,449.0,0.2
2,13,2,269.99,0.1
1,11,1,1680.99,0.1
2,22,2,269.99,0.07
3,16,2,599.99,0.05
1,22,2,269.99,0.1
2,6,1,469.99,0.07
1,14,1,269.99,0.1
1,14,1,269.99,0.1
2,12,2,549.99,0.07
1,23,2,299.99,0.2
2,25,2,499.99,0.07
3,24,2,549.99,0.05
4,5,1,1320.99,0.2
1,12,2,549.99,0.07
2,24,2,549.99,0.1
3,6,1,469.99,0.07
4,23,1,299.99,0.2
5,5,2,1320.99,0.2
1,12,1,549.99,0.05
2,2,1,749.99,0.07
3,13,2,269.99,0.1
1,22,1,269.99,0.2
2,19,1,449.0,0.1
1,26,1,599.99,0.05
1,22,2,269.99,0.2
2,26,1,599.99,0.05
3,14,1,269.99,0.2
4,19,1,449.0,0.05
1,18,1,449.0,0.07
2,4,1,2899.99,0.07
3,6,1,469.99,0.07
4,3,2,999.99,0.1
5,23,2,299.99,0.07
1,25,1,499.99,0.05
1,13,2,269.99,0.05
2,6,2,469.99,0.05
3,10,2,1549.0,0.05
4,17,1,429.0,0.05
5,16,2,599.99,0.2
1,5,1,1320.99,0.2
2,14,2,269.99,0.1
3,4,2,2899.99,0.1
4,24,2,549.99,0.07
5,2,2,749.99,0.05
1,16,1,599.99,0.1
1,12,2,549.99,0.1
1,16,1,599.99,0.05
2,4,1,2899.99,0.07
3,7,2,3999.99,0.05
1,17,1,429.0,0.1
1,9,2,2999.99,0.05
1,17,1,429.0,0.07
2,20,1,599.99,0.1
3,4,2,2899.99,0.07
1,24,2,549.99,0.1
2,16,2,599.99,0.1
3,4,2,2899.99,0.2
4,3,2,999.99,0.2
1,18,1,449.0,0.1
2,9,1,2999.99,0.1
1,26,1,599.99,0.05
2,5,2,1320.99,0.07
1,22,2,269.99,0.2
2,4,2,2899.99,0.07
3,24,2,549.99,0.1
1,2,2,749.99,0.05
2,20,1,599.99,0.05
3,9,1,2999.99,0.1
1,13,2,269.99,0.05
2,22,1,269.99,0.2
1,19,2,449.0,0.1
2,2,2,749.99,0.07
3,18,2,449.0,0.07
1,5,2,1320.99,0.05
2,18,2,449.0,0.05
3,25,1,499.99,0.2
4,2,1,749.99,0.05
1,7,2,3999.99,0.2
2,3,2,999.99,0.05
1,23,1,299.99,0.07
2,22,1,269.99,0.1
1,16,2,599.99,0.1
2,6,1,469.99,0.2
1,19,2,449.0,0.07
2,3,1,999.99,0.07
1,15,1,529.99,0.2
2,21,1,269.99,0.2
3,12,2,549.99,0.2
4,3,1,999.99,0.05
1,18,1,449.0,0.2
1,16,2,599.99,0.1
2,11,2,1680.99,0.1
3,19,1,449.0,0.07
1,6,1,469.99,0.2
1,8,2,1799.99,0.05
1,11,1,1680.99,0.2
2,9,2,2999.99,0.1
1,3,2,999.99,0.2
2,12,1,549.99,0.1
3,20,2,599.99,0.1
4,6,2,469.99,0.05
5,2,1,749.99,0.07
1,26,2,599.99,0.2
1,14,1,269.99,0.05
1,12,2,549.99,0.07
2,21,2,269.99,0.07
1,7,1,3999.99,0.1
2,3,1,999.99,0.2
3,17,1,429.0,0.07
4,25,2,499.99,0.07
1,17,1,429.0,0.1
2,26,1,599.99,0.1
1,6,2,469.99,0.2
2,22,2,269.99,0.2
3,16,2,599.99,0.07
1,16,1,599.99,0.07
2,8,1,1799.99,0.07
3,15,2,529.99,0.05
1,12,1,549.99,0.1
1,8,1,1799.99,0.1
1,18,2,449.0,0.2
2,17,2,429.0,0.05
3,6,1,469.99,0.07
1,4,1,2899.99,0.1
2,7,2,3999.99,0.07
1,24,1,549.99,0.1
1,13,1,269.99,0.2
1,21,1,269.99,0.07
2,15,2,529.99,0.07
3,18,2,449.0,0.1
4,11,1,1680.99,0.05
1,24,2,549.99,0.07
2,22,1,269.99,0.05
3,7,2,3999.99,0.05
1,18,1,449.0,0.07
2,21,2,269.99,0.07
3,3,2,999.99,0.1
1,12,1,549.99,0.1
2,18,1,449.0,0.2
1,4,2,2899.99,0.05
2,10,2,1549.0,0.05
3,14,1,269.99,0.1
1,4,2,2899.99,0.05
2,23,1,299.99,0.2
3,2,1,749.99,0.05
1,10,2,1549.0,0.1
2,11,1,1680.99,0.2
1,12,1,549.99,0.05
2,10,1,1549.0,0.2
3,13,2,269.99,0.05
4,7,2,3999.99,0.05
1,6,1,469.99,0.1
2,11,2,1680.99,0.07
3,12,2,549.99,0.07
4,22,2,269.99,0.2
1,20,2,599.99,0.1
2,5,1,1320.99,0.05
3,10,1,1549.0,0.2
4,11,1,1680.99,0.2
5,14,2,269.99,0.05
1,12,2,549.99,0.1
2,24,1,549.99,0.05
3,7,1,3999.99,0.2
4,18,2,449.0,0.05
1,8,1,1799.99,0.05
1,23,1,299.99,0.07
2,16,1,599.99,0.2
1,14,1,269.99,0.05
2,16,1,599.99,0.2
3,20,2,599.99,0.05
1,22,2,269.99,0.2
2,19,2,449.0,0.1
1,5,1,1320.99,0.1
2,2,2,749.99,0.2
3,21,2,269.99,0.1
4,19,1,449.0,0.07
1,2,2,749.99,0.07
2,11,2,1680.99,0.2
3,16,2,599.99,0.05
1,20,2,599.99,0.1
1,10,2,1549.0,0.2
2,12,1,549.99,0.05
3,3,1,999.99,0.1
4,18,1,449.0,0.07
1,13,2,269.99,0.05
2,26,1,599.99,0.1
3,18,1,449.0,0.2
4,12,2,549.99,0.2
5,20,2,599.99,0.1
1,16,1,599.99,0.07
1,10,1,1549.0,0.05
2,11,1,1680.99,0.1
3,15,2,529.99,0.2
4,24,2,549.99,0.05
1,25,2,499.99,0.05
2,24,2,549.99,0.07
1,11,2,1680.99,0.2
2,12,2,549.99,0.05
3,19,1,449.0,0.07
4,17,1,429.0,0.07
1,4,1,2899.99,0.2
2,5,1,1320.99,0.1
3,14,1,269.99,0.1
1,20,1,599.99,0.1
2,8,1,1799.99,0.05
1,4,1,2899.99,0.1
2,6,1,469.99,0.1
1,5,1,1320.99,0.05
1,7,2,3999.99,0.07
1,16,2,599.99,0.2
1,24,1,549.99,0.05
2,15,1,529.99,0.2
3,3,2,999.99,0.2
1,25,1,499.99,0.05
2,12,2,549.99,0.2
3,3,1,999.99,0.07
4,8,2,1799.99,0.05
5,23,1,299.99,0.05
1,8,2,1799.99,0.1
2,25,1,499.99,0.07
3,2,1,749.99,0.05
4,24,2,549.99,0.07
5,10,2,1549.0,0.2
1,12,2,549.99,0.1
1,21,2,269.99,0.2
1,18,1,449.0,0.2
2,14,1,269.99,0.05
3,5,2,1320.99,0.2
4,4,2,2899.99,0.2
5,21,2,269.99,0.1
1,6,1,469.99,0.05
2,3,2,999.99,0.07
3,10,2,1549.0,0.07
4,12,1,549.99,0.07
5,20,1,599.99,0.1
1,4,2,2899.99,0.2
2,2,2,749.99,0.07
1,6,2,469.99,0.05
2,20,2,599.99,0.07
3,8,2,1799.99,0.2
4,13,2,269.99,0.05
5,17,1,429.0,0.05
1,25,2,499.99,0.05
2,18,2,449.0,0.07
3,4,1,2899.99,0.2
1,23,2,299.99,0.05
2,22,2,269.99,0.07
1,24,1,549.99,0.05
2,7,1,3999.99,0.2
3,14,2,269.99,0.1
4,17,1,429.0,0.05
1,8,1,1799.99,0.07
2,17,1,429.0,0.05
3,15,2,529.99,0.05
4,25,2,499.99,0.05
1,26,1,599.99,0.05
2,3,2,999.99,0.1
3,17,2,429.0,0.2
4,19,2,449.0,0.07
1,6,2,469.99,0.07
2,17,2,429.0,0.1
1,22,2,269.99,0.05
2,24,2,549.99,0.1
1,25,1,499.99,0.05
2,20,1,599.99,0.2
1,12,2,549.99,0.2
2,5,1,1320.99,0.05
3,11,2,1680.99,0.07
4,7,2,3999.99,0.1
1,6,2,469.99,0.05
2,4,2,2899.99,0.07
3,3,1,999.99,0.05
4,12,1,549.99,0.2
5,10,2,1549.0,0.05
1,13,1,269.99,0.1
1,14,1,269.99,0.07
2,13,2,269.99,0.2
1,10,1,1549.0,0.07
2,2,2,749.99,0.07
1,16,2,599.99,0.07
2,12,2,549.99,0.2
3,19,1,449.0,0.1
4,7,1,3999.99,0.2
1,13,1,269.99,0.1
1,21,1,269.99,0.1
1,19,1,449.0,0.07
2,12,2,549.99,0.1
1,22,2,269.99,0.1
2,16,2,599.99,0.05
1,18,1,449.0,0.1
2,10,2,1549.0,0.1
3,17,1,429.0,0.07
1,2,2,749.99,0.1
2,13,1,269.99,0.07
3,12,1,549.99,0.05
1,26,1,599.99,0.05
2,5,1,1320.99,0.2
1,6,2,469.99,0.05
2,25,1,499.99,0.07
3,22,2,269.99,0.1
4,3,2,999.99,0.2
1,11,2,1680.99,0.07
1,10,1,1549.0,0.1
2,2,2,749.99,0.1
1,7,2,3999.99,0.05
2,5,1,1320.99,0.2
3,21,2,269.99,0.1
4,20,1,599.99,0.05
5,15,1,529.99,0.05
1,6,1,469.99,0.07
2,11,2,1680.99,0.1
3,10,2,1549.0,0.2
4,25,1,499.99,0.05
1,21,1,269.99,0.1
2,9,1,2999.99,0.1
1,2,1,749.99,0.05
1,3,2,999.99,0.05
2,15,2,529.99,0.1
1,25,1,499.99,0.2
2,2,2,749.99,0.07
3,23,2,299.99,0.1
4,4,1,2899.99,0.2
5,22,1,269.99,0.05
1,25,2,499.99,0.2
2,5,2,1320.99,0.1
3,8,1,1799.99,0.2
1,11,2,1680.99,0.07
1,8,2,1799.99,0.07
2,14,2,269.99,0.2
3,5,2,1320.99,0.2
1,18,1,449.0,0.07
2,11,2,1680.99,0.05
3,26,2,599.99,0.07
4,8,2,1799.99,0.1
1,14,1,269.99,0.1
2,16,2,599.99,0.1
3,12,1,549.99,0.2
4,15,2,529.99,0.07
1,11,2,1680.99,0.2
2,17,2,429.0,0.05
3,12,1,549.99,0.1
4,7,1,3999.99,0.05
5,23,1,299.99,0.1
1,6,1,469.99,0.07
2,13,2,269.99,0.05
3,7,2,3999.99,0.05
1,3,2,999.99,0.07
2,2,2,749.99,0.1
3,4,2,2899.99,0.1
1,15,1,529.99,0.2
2,24,1,549.99,0.07
3,20,2,599.99,0.2
4,26,1,599.99,0.05
1,20,2,599.99,0.2
2,25,1,499.99,0.07
3,13,2,269.99,0.2
4,22,2,269.99,0.05
5,7,1,3999.99,0.07
1,16,2,599.99,0.1
2,21,2,269.99,0.05
3,18,1,449.0,0.07
4,4,2,2899.99,0.07
1,9,1,2999.99,0.07
2,8,1,1799.99,0.07
3,5,1,1320.99,0.07
4,18,2,449.0,0.07
1,7,1,3999.99,0.2
1,3,1,999.99,0.2
1,25,2,499.99,0.05
2,19,2,449.0,0.07
3,7,2,3999.99,0.05
1,19,1,449.0,0.07
2,25,1,499.99,0.2
3,22,1,269.99,0.1
1,10,2,1549.0,0.05
2,8,1,1799.99,0.1
1,17,2,429.0,0.2
1,25,1,499.99,0.07
2,3,1,999.99,0.2
1,13,1,269.99,0.1
2,26,2,599.99,0.1
3,17,1,429.0,0.1
4,9,1,2999.99,0.2
1,7,2,3999.99,0.05
2,18,2,449.0,0.05
3,22,1,269.99,0.1
1,17,2,429.0,0.05
2,11,2,1680.99,0.1
1,23,2,299.99,0.2
2,22,2,269.99,0.05
1,11,2,1680.99,0.1
2,4,1,2899.99,0.07
3,19,1,449.0,0.1
1,11,2,1680.99,0.07
1,6,2,469.99,0.07
2,3,1,999.99,0.05
3,12,1,549.99,0.05
1,5,2,1320.99,0.1
2,14,1,269.99,0.2
3,2,2,749.99,0.2
4,21,1,269.99,0.07
1,11,1,1680.99,0.1
2,21,1,269.99,0.05
1,8,2,1799.99,0.07
2,13,2,269.99,0.2
3,10,2,1549.0,0.1
4,15,1,529.99,0.1
1,8,2,1799.99,0.05
2,4,1,2899.99,0.07
3,19,1,449.0,0.07
4,18,1,449.0,0.05
1,26,1,599.99,0.05
2,6,2,469.99,0.1
3,2,2,749.99,0.2
4,4,1,2899.99,0.1
1,23,2,299.99,0.2
2,10,1,1549.0,0.2
3,24,2,549.99,0.2
1,16,2,599.99,0.05
2,14,1,269.99,0.1
3,17,2,429.0,0.1
1,2,1,749.99,0.07
2,9,2,2999.99,0.05
1,9,1,2999.99,0.07
2,3,1,999.99,0.2
3,2,2,749.99,0.05
1,10,1,1549.0,0.2
2,24,2,549.99,0.05
3,15,2,529.99,0.1
4,3,2,999.99,0.07
1,9,2,2999.99,0.2
1,6,2,469.99,0.07
2,19,1,449.0,0.2
3,25,1,499.99,0.05
1,22,2,269.99,0.2
2,23,2,299.99,0.1
3,24,1,549.99,0.1
4,7,2,3999.99,0.07
5,21,1,269.99,0.05
1,7,1,3999.99,0.05
2,6,2,469.99,0.2
3,9,1,2999.99,0.1
1,5,1,1320.99,0.07
2,23,2,299.99,0.07
3,18,1,449.0,0.05
4,3,1,999.99,0.05
1,25,2,499.99,0.2
2,15,1,529.99,0.1
1,11,2,1680.99,0.07
2,6,2,469.99,0.05
3,13,1,269.99,0.1
4,7,2,3999.99,0.1
1,2,2,749.99,0.07
2,11,1,1680.99,0.07
1,21,1,269.99,0.1
1,11,2,1680.99,0.05
2,25,2,499.99,0.1
3,9,2,2999.99,0.07
1,18,1,449.0,0.05
2,25,1,499.99,0.1
3,7,2,3999.99,0.05
1,3,2,999.99,0.2
2,17,1,429.0,0.05
3,9,2,2999.99,0.07
1,20,2,599.99,0.2
2,6,2,469.99,0.2
3,13,2,269.99,0.1
1,16,1,599.99,0.2
2,19,2,449.0,0.07
3,13,1,269.99,0.07
4,11,2,1680.99,0.07
1,25,1,499.99,0.07
1,25,1,499.99,0.07
2,26,2,599.99,0.07
3,13,1,269.99,0.07
1,22,1,269.99,0.07
2,14,2,269.99,0.1
3,7,2,3999.99,0.07
1,20,1,599.99,0.07
2,7,2,3999.99,0.07
3,3,2,999.99,0.05
4,16,2,599.99,0.07
1,9,1,2999.99,0.05
2,16,2,599.99,0.2
1,24,2,549.99,0.2
2,20,1,599.99,0.2
1,16,2,599.99,0.05
2,12,1,549.99,0.05
3,2,1,749.99,0.1
1,26,2,599.99,0.2
2,21,2,269.99,0.07
3,16,2,599.99,0.1
4,7,1,3999.99,0.1
1,5,1,1320.99,0.2
2,10,1,1549.0,0.05
3,2,1,749.99,0.05
4,20,1,599.99,0.05
1,4,1,2899.99,0.2
2,10,1,1549.0,0.1
3,7,2,3999.99,0.05
1,13,1,269.99,0.07
2,24,1,549.99,0.2
3,17,1,429.0,0.2
1,2,2,749.99,0.07
2,5,2,1320.99,0.07
3,21,1,269.99,0.1
1,6,2,469.99,0.05
2,21,2,269.99,0.07
1,18,2,449.0,0.1
2,4,1,2899.99,0.07
3,10,2,1549.0,0.05
1,19,2,449.0,0.05
2,6,1,469.99,0.2
1,18,1,449.0,0.2
2,14,1,269.99,0.2
3,7,2,3999.99,0.05
4,25,2,499.99,0.2
1,22,2,269.99,0.07
1,25,2,499.99,0.07
2,12,2,549.99,0.1
3,11,2,1680.99,0.1
4,9,1,2999.99,0.2
1,4,2,2899.99,0.2
1,23,1,299.99,0.2
2,6,2,469.99,0.05
3,22,1,269.99,0.2
4,9,1,2999.99,0.07
5,14,2,269.99,0.1
1,11,2,1680.99,0.05
2,10,2,1549.0,0.2
1,16,2,599.99,0.1
2,9,2,2999.99,0.1
3,10,1,1549.0,0.1
4,11,2,1680.99,0.2
1,6,1,469.99,0.05
2,22,1,269.99,0.1
1,24,2,549.99,0.2
2,18,2,449.0,0.07
3,2,2,749.99,0.2
1,8,2,1799.99,0.05
2,24,2,549.99,0.05
1,10,1,1549.0,0.05
2,7,2,3999.99,0.1
3,20,1,599.99,0.1
1,10,1,1549.0,0.07
2,6,1,469.99,0.1
3,3,2,999.99,0.2
1,10,1,1549.0,0.2
2,22,1,269.99,0.07
1,15,2,529.99,0.05
1,7,1,3999.99,0.1
2,18,2,449.0,0.2
3,14,1,269.99,0.2
1,3,1,999.99,0.05
2,12,1,549.99,0.05
1,7,2,3999.99,0.07
2,14,2,269.99,0.1
3,5,2,1320.99,0.2
4,8,1,1799.99,0.2
1,17,2,429.0,0.05
2,5,2,1320.99,0.2
1,24,2,549.99,0.05
2,14,2,269.99,0.07
3,16,2,599.99,0.05
1,4,1,2899.99,0.07
2,10,2,1549.0,0.07
1,5,1,1320.99,0.07
2,9,1,2999.99,0.05
3,22,2,269.99,0.2
4,7,2,3999.99,0.07
1,11,1,1680.99,0.2
2,9,1,2999.99,0.1
1,2,2,749.99,0.2
2,16,2,599.99,0.1
3,20,1,599.99,0.1
4,19,1,449.0,0.2
5,17,1,429.0,0.05
1,10,1,1549.0,0.2
2,22,1,269.99,0.05
3,15,1,529.99,0.05
4,13,2,269.99,0.2
1,13,2,269.99,0.1
2,25,2,499.99,0.2
3,9,1,2999.99,0.05
1,11,1,1680.99,0.07
2,21,1,269.99,0.2
3,15,2,529.99,0.1
4,23,1,299.99,0.05
1,2,1,749.99,0.1
1,4,2,2899.99,0.2
2,12,2,549.99,0.2
3,26,1,599.99,0.2
4,23,2,299.99,0.2
1,13,2,269.99,0.2
2,21,1,269.99,0.07
1,13,2,269.99,0.07
2,26,2,599.99,0.1
1,2,2,749.99,0.1
2,17,1,429.0,0.2
3,22,2,269.99,0.2
4,19,1,449.0,0.05
5,12,1,549.99,0.05
1,7,1,3999.99,0.05
2,12,1,549.99,0.2
3,6,2,469.99,0.2
1,12,1,549.99,0.1
2,23,1,299.99,0.07
1,12,2,549.99,0.07
2,13,1,269.99,0.07
3,4,1,2899.99,0.05
1,6,2,469.99,0.1
1,14,2,269.99,0.07
2,8,2,1799.99,0.05
3,23,1,299.99,0.2
4,17,1,429.0,0.07
5,26,2,599.99,0.05
1,21,2,269.99,0.05
1,17,2,429.0,0.1
1,18,2,449.0,0.05
1,18,2,449.0,0.07
2,8,2,1799.99,0.05
3,3,1,999.99,0.2
1,16,2,599.99,0.2
2,9,1,2999.99,0.05
3,3,2,999.99,0.05
1,6,1,469.99,0.1
2,2,2,749.99,0.1
3,21,1,269.99,0.07
1,4,1,2899.99,0.1
2,12,1,549.99,0.2
1,18,1,449.0,0.05
2,4,1,2899.99,0.05
1,6,2,469.99,0.07
2,10,1,1549.0,0.07
3,22,1,269.99,0.1
4,11,2,1680.99,0.07
5,9,1,2999.99,0.05
1,13,1,269.99,0.1
2,15,2,529.99,0.05
1,11,1,1680.99,0.05
2,24,1,549.99,0.05
3,13,2,269.99,0.1
4,12,2,549.99,0.07
5,10,2,1549.0,0.1
1,23,2,299.99,0.05
1,26,1,599.99,0.07
2,9,1,2999.99,0.2
3,16,2,599.99,0.1
1,20,2,599.99,0.2
2,25,1,499.99,0.05
3,5,2,1320.99,0.05
4,10,1,1549.0,0.1
1,22,1,269.99,0.05
2,18,2,449.0,0.07
3,14,1,269.99,0.2
1,18,2,449.0,0.1
2,24,2,549.99,0.07
1,13,1,269.99,0.07
2,23,1,299.99,0.2
3,21,1,269.99,0.1
4,15,1,529.99,0.05
5,18,2,449.0,0.05
